DATE,CLOSE,VOLUME
2003.09.10,0.40,2087272320000
2003.09.11,0.40,1935569440000
2003.09.12,0.41,1757381360000
2003.09.15,0.40,2113441120000
2003.09.16,0.40,2563873760000
2003.09.17,0.40,2825748240000
2003.09.18,0.41,2425060400000
2003.09.19,0.40,1706204640000
2003.09.22,0.40,1710353680000
2003.09.23,0.40,1233677200000
2003.09.24,0.38,2926834400000
2003.09.25,0.36,5558966000000
2003.09.26,0.37,3275674640000
2003.09.29,0.38,3482090080000
2003.09.30,0.37,2544987760000
2003.10.01,0.37,2274580560000
2003.10.02,0.37,1910130320000
2003.10.03,0.39,2851251200000
2003.10.06,0.40,2510602080000
2003.10.07,0.41,3956435840000
2003.10.08,0.41,4165556080000
2003.10.09,0.42,3398569440000
2003.10.10,0.42,1634574480000
2003.10.13,0.43,2590848960000
2003.10.14,0.44,2182257840000
2003.10.15,0.44,5499888240000
2003.10.16,0.41,9384215120000
2003.10.17,0.41,3374459200000
2003.10.20,0.41,2668218000000
2003.10.21,0.41,1533383600000
2003.10.22,0.41,1407132160000
2003.10.23,0.41,1570001440000
2003.10.24,0.40,2038910720000
2003.10.27,0.40,1536641680000
2003.10.28,0.42,2403772560000
2003.10.29,0.42,1722382480000
2003.10.30,0.41,2398610480000
2003.10.31,0.41,1775180400000
2003.11.03,0.42,2689358000000
2003.11.04,0.41,2382545760000
2003.11.05,0.41,2997344000000
2003.11.06,0.41,3885164080000
2003.11.07,0.40,2007785920000
2003.11.10,0.39,2198031360000
2003.11.11,0.38,2091053440000
2003.11.12,0.40,2880980480000
2003.11.13,0.40,2075643360000
2003.11.14,0.38,2297999760000
2003.11.17,0.38,2164098160000
2003.11.18,0.36,2554133680000
2003.11.19,0.36,3291785280000
2003.11.20,0.36,2283141280000
2003.11.21,0.36,2317111440000
2003.11.24,0.38,3581306960000
2003.11.25,0.37,2400460720000
2003.11.26,0.37,2392239360000
2003.11.28,0.37,705942160000
2003.12.01,0.39,3125743040000
2003.12.02,0.38,1954680560000
2003.12.03,0.38,1776544000000
2003.12.04,0.38,1688618400000
2003.12.05,0.37,1738016000000
2003.12.08,0.38,1304905840000
2003.12.09,0.37,1278406080000
2003.12.10,0.36,2308560240000
2003.12.11,0.38,1750325360000
2003.12.12,0.37,1735824720000
2003.12.15,0.36,3457412000000
2003.12.16,0.36,3376664480000
2003.12.17,0.36,2315372640000
2003.12.18,0.36,3136479920000
2003.12.19,0.35,3920759360000
2003.12.22,0.35,3662703520000
2003.12.23,0.35,2938319440000
2003.12.24,0.36,1744215200000
2003.12.26,0.37,1032895920000
2003.12.29,0.37,2149338800000
2003.12.30,0.38,1892168880000
2003.12.31,0.38,1512346640000
2004.01.02,0.38,1292243680000
2004.01.05,0.39,3749065040000
2004.01.06,0.39,4625177760000
2004.01.07,0.40,5456276000000
2004.01.08,0.42,4253777360000
2004.01.09,0.41,4090609600000
2004.01.12,0.42,4386978400000
2004.01.13,0.43,6180513920000
2004.01.14,0.43,5299142240000
